ID,none,disgust,like,happiness,sadness,surprise,anger,fear
5000,1,0,0,0,0,0,0,0
5001,1,0,0,0,0,0,0,0
5002,1,0,0,0,0,0,0,0
5003,0,0,0,1,0,0,0,0
5004,1,0,0,0,0,0,0,0
5005,1,0,0,0,0,0,0,0
5006,1,0,0,0,0,0,0,0
5007,0,0,0,0,0,0,1,0
5008,1,0,0,0,0,0,0,0
5009,0,1,0,0,0,0,0,0
5010,0,0,1,0,0,0,0,0
5011,0,0,1,0,0,0,0,0
5012,1,0,0,0,0,0,0,0
5013,0,0,1,0,0,0,0,0
5014,1,0,0,0,0,0,0,0
5015,0,0,0,1,0,0,0,0
5016,0,0,1,0,0,0,0,0
5017,1,0,0,0,0,0,0,0
5018,1,0,0,0,0,0,0,0
5019,0,0,0,1,0,0,0,0
5020,1,0,0,0,0,0,0,0
5021,1,0,0,0,0,0,0,0
5022,1,0,0,0,0,0,0,0
5023,1,0,0,0,0,0,0,0
5024,0,0,1,0,0,0,0,0
5025,0,0,0,1,0,0,0,0
5026,1,0,0,0,0,0,0,0
5027,1,0,0,0,0,0,0,0
5028,1,0,0,0,0,0,0,0
5029,0,0,0,0,1,0,0,0
5030,0,0,0,0,0,0,1,0
5031,1,0,0,0,0,0,0,0
5032,0,0,1,0,0,0,0,0
5033,0,0,0,0,0,0,1,0
5034,1,0,0,0,0,0,0,0
5035,0,0,1,0,0,0,0,0
5036,0,1,0,0,0,0,0,0
5037,1,0,0,0,0,0,0,0
5038,0,0,0,0,0,0,1,0
5039,1,0,0,0,0,0,0,0
5040,0,0,1,0,0,0,0,0
5041,1,0,0,0,0,0,0,0
5042,1,0,0,0,0,0,0,0
5043,1,0,0,0,0,0,0,0
5044,1,0,0,0,0,0,0,0
5045,1,0,0,0,0,0,0,0
5046,1,0,0,0,0,0,0,0
5047,0,0,0,1,0,0,0,0
5048,0,1,0,0,0,0,0,0
5049,0,0,0,1,0,0,0,0
5050,1,0,0,0,0,0,0,0
5051,1,0,0,0,0,0,0,0
5052,0,0,0,1,0,0,0,0
5053,1,0,0,0,0,0,0,0
5054,0,0,0,1,0,0,0,0
5055,1,0,0,0,0,0,0,0
5056,1,0,0,0,0,0,0,0
5057,0,1,0,0,0,0,0,0
5058,1,0,0,0,0,0,0,0
5059,1,0,0,0,0,0,0,0
5060,1,0,0,0,0,0,0,0
5061,1,0,0,0,0,0,0,0
5062,1,0,0,0,0,0,0,0
5063,1,0,0,0,0,0,0,0
